282,661
643,866
228,581
139,527
726,921
132,240
239,445
717,849
157,450
4,300
222,405
231,277
176,715
255,871
506,815
374,946
70,931
139,214
201,760
646,845
75,749
530,784
602,658
66,244
95,170
338,405
112,440
404,779
64,99
293,488
486,605
577,847
518,856
342,956
873,963
484,875
646,850
646,719
137,858
138,695
943,979
310,764
272,280
774,909
37,925
548,585
239,321
86,896
144,292
217,267
610,990
706,943
827,890
471,482
50,742
649,743
409,871
221,968
760,932
54,852
607,937
913,914
437,653
8,121
397,486
27,532
228,775
883,944
64,687
768,821
335,432
373,834
563,804
606,644
678,961
796,917
84,549
163,756
275,509
251,846
91,974
336,499
507,813
314,477
629,848
581,983
968,974
864,955
455,756
264,324
18,220
298,774
81,953
432,870
129,773
753,960
179,439
479,723
406,951
460,869
463,877
832,970
256,693
261,414
230,664
329,836
517,613
219,573
200,396
512,858
46,135
454,510
202,722
498,779
823,985
175,436
574,665
205,656
648,723
320,979
231,335
521,869
357,989
27,936
40,357
149,229
41,505
250,913
334,480
647,752
245,758
680,734
309,682
804,876
216,707
253,802
97,194
156,461
495,755
973,995
79,375
407,501
688,760
82,291
60,659
146,927
50,140
63,352
518,548
66,261
445,653
906,951
317,540
716,806
70,808
136,950
326,955
714,766
415,445
681,688
89,513
14,751
633,919
157,752
123,306
255,617
393,636
45,555
317,607
454,891
35,558
70,267
217,994
327,668
445,507
509,775
617,656
320,483
225,474
258,286
37,275
620,869
225,837
540,961
10,328
458,593
555,991
363,570
122,387
50,354
99,723
299,685
575,903
6,402
483,577
353,591
491,531
259,432
285,337
315,811
147,778
11,32
198,641
471,642
699,829
284,679
489,619
150,732
800,873
103,541
88,278
795,933
783,796
441,558
62,392
591,866
404,469
103,366
183,649
425,784
633,761
478,656
324,628
350,579
621,866
277,450
438,449
311,529
57,221
588,908
540,728
46,514
208,414
20,763
389,757
29,951
378,886
387,628
51,157
471,986
41,801
522,641
115,654
409,418
430,448
139,979
509,608
46,139
79,304
215,679
501,978
167,238
186,227
552,753
34,41
692,781
221,651
675,829
732,847
37,166
387,840
63,105
87,685
330,348
444,572
362,875
358,731
283,295
544,591
25,952
102,682
329,965
275,636
786,894
775,786
799,822
341,412
408,690
113,192
96,801
324,924
359,490
160,964
43,198
82,769
90,662
99,519
152,521
425,960
434,929
791,934
231,990
353,362
189,897
35,588
30,753
214,507
514,953
818,971
682,957
93,814
662,781
158,690
766,803
938,992
702,808
467,990
10,103
220,239
247,749
54,702
382,468
301,622
724,795
39,110
408,752
49,677
453,768
90,972
417,885
828,942
314,644
135,814
250,862
362,513
278,366
626,913
64,242
467,553
636,665
142,911
351,598
580,684
60,504
491,580
296,964
418,452
236,600
22,32
208,781
462,926
488,539
756,812
30,52
316,953
411,453
615,905
558,871
129,832
254,865
113,744
91,681
317,556
106,461
183,215
52,798
796,998
134,283
364,519
185,480
602,895
342,649
139,257
959,993
147,541
344,746
481,984
224,923
389,747
658,915
1,917
221,881
654,871
102,827
237,431
4,846
81,499
241,665
513,985
25,885
337,445
793,993
902,917
514,760
396,461
563,822
570,729
177,396
40,49
135,306
214,919
311,906
642,897
474,963
228,239
691,732
312,781
502,534
228,235
510,630
97,687
266,896
270,558
243,433
68,418
466,919
185,525
13,251
289,989
163,790
28,356
3,369
124,576
189,400
